,Sample,Microbes,Culture,Media,Strain,Mean_TIC,TOTAL_TIC,CORRECTION2,PEAK_AREA,PEAK_AREA_TIC,PEAK_AREA_TIC_Log,PEAK_AREA_Log,TIC_Log_Scaled,Metabolites,Log_Scaled,Class,Sample_ID_F
2914,71,Media,Control,SA,Media,28655563,104760233.8,3.655842806,3664864,13398166.69,7.127045377,6.564057863,0.392258045,Lysine_2Bz,-0.488990055,Amino Acids,71_Media_Control_SA_Media
2915,71,Media,Control,SA,Media,28655563,104760233.8,3.655842806,579722,2119372.503,6.326207295,5.763219782,0.238428528,N.acetylputrescine_1Bz,-0.461140677,Amino Acids,71_Media_Control_SA_Media
2916,71,Media,Control,SA,Media,28655563,104760233.8,3.655842806,2124402,7766479.768,6.890224215,6.327236702,0.601661512,Ornithine_2Bz,-0.147352164,Amino Acids,71_Media_Control_SA_Media
2917,71,Media,Control,SA,Media,28655563,104760233.8,3.655842806,1504860,5501531.605,6.740483612,6.177496099,0.156997645,Phenylalanine_1Bz,-0.688658336,Amino Acids,71_Media_Control_SA_Media
2918,71,Media,Control,SA,Media,28655563,104760233.8,3.655842806,1865430,6819718.845,6.83376647,6.270778957,-0.044768495,Proline_1Bz,-0.648565657,Amino Acids,71_Media_Control_SA_Media
2919,71,Media,Control,SA,Media,28655563,104760233.8,3.655842806,1937684,7083868.111,6.850270467,6.287282953,0.396329614,Serine_1Bz,-0.474771978,Amino Acids,71_Media_Control_SA_Media
2920,71,Media,Control,SA,Media,28655563,104760233.8,3.655842806,1278976,4675735.208,6.669849909,6.106862395,0.24046656,Threonine_1Bz,-0.640908593,Amino Acids,71_Media_Control_SA_Media
2921,71,Media,Control,SA,Media,28655563,104760233.8,3.655842806,1385315,5064493.876,6.70453605,6.141548537,0.249691288,Tyrosine_2Bz,-0.621012156,Amino Acids,71_Media_Control_SA_Media
2922,71,Media,Control,SA,Media,28655563,104760233.8,3.655842806,1282674,4689254.515,6.671103805,6.108116292,0.031823579,Valine_1Bz,-0.72207442,Amino Acids,71_Media_Control_SA_Media
2923,72,Media,Control,SA,Media,46558895,104760233.8,2.250058423,2102652,4731089.842,6.674961195,6.322767401,-0.243076528,Alanine_1Bz,-0.579779186,Amino Acids,72_Media_Control_SA_Media
2924,72,Media,Control,SA,Media,46558895,104760233.8,2.250058423,13737380,30909907.57,7.490097706,7.137903912,0.686484121,Arginine_1Bz,0.285374103,Amino Acids,72_Media_Control_SA_Media
2925,72,Media,Control,SA,Media,46558895,104760233.8,2.250058423,496261,1116616.243,6.047903941,5.695710146,-0.198707751,Asparagine_1Bz,-0.530438942,Amino Acids,72_Media_Control_SA_Media
2926,72,Media,Control,SA,Media,46558895,104760233.8,2.250058423,649476,1461358.944,6.164756902,5.812563107,-0.404789432,Aspartic.Acid_1Bz,-0.770927086,Amino Acids,72_Media_Control_SA_Media
2927,72,Media,Control,SA,Media,46558895,104760233.8,2.250058423,NA,NA,NA,NA,-3.133912169,Beta.Alanine_1Bz,-3.10940451,Amino Acids,72_Media_Control_SA_Media
2928,72,Media,Control,SA,Media,46558895,104760233.8,2.250058423,25620,57646.49678,4.76077292,4.408579125,-0.471181847,Citrulline_1Bz,-0.694712738,Amino Acids,72_Media_Control_SA_Media
2929,72,Media,Control,SA,Media,46558895,104760233.8,2.250058423,1543447,3472845.922,6.540685516,6.188491721,-0.437961284,Glutamic.Acid_1Bz,-0.746173963,Amino Acids,72_Media_Control_SA_Media
2930,72,Media,Control,SA,Media,46558895,104760233.8,2.250058423,201799,454059.5396,5.657112804,5.30491901,-0.365874815,Glutamine_1Bz,-0.751138135,Amino Acids,72_Media_Control_SA_Media
2931,72,Media,Control,SA,Media,46558895,104760233.8,2.250058423,461942,1039396.488,6.016781245,5.66458745,-0.568593033,Glycine_1Bz,-0.766276937,Amino Acids,72_Media_Control_SA_Media
2932,72,Media,Control,SA,Media,46558895,104760233.8,2.250058423,1102612,2480941.417,6.394616509,6.042422715,-0.018602675,Histidine_1Bz,-0.414869879,Amino Acids,72_Media_Control_SA_Media
